household_id,crop_code,crop_name,household_size,region_code,is_rural,survey_year,region_name,rainfall_belg_mm,rainfall_belg_pct_of_avg,rainfall_meher_mm,rainfall_meher_pct_of_avg,loss_occurred
1010201403026,38.0,RED PEPPER,1.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403031,2.0,MAIZE,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403031,3.0,MILLET,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403031,7.0,TEFF,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403031,38.0,RED PEPPER,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,1.0,BARLEY,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,2.0,MAIZE,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,3.0,MILLET,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,6.0,SORGHUM,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,7.0,TEFF,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,11.0,CHICK PEAS,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,38.0,RED PEPPER,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403046,-1,UNKNOWN,10.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403061,1.0,BARLEY,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403061,2.0,MAIZE,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
1010201403061,3.0,MILLET,7.0,1.0,1.0,2011,Tigray,120.64809594,112.0,643.046036,95.0,0
